CO2 [ppm],Temperature_Indoor [C],Relative_Humidity_Indoor [%],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%],Solar_Radiation [w/m2],Southward_Vertical_Irradiance [w/m2],Class,Room_ID
445,24.50,59.60,30.88,41.10,661.180,273.000,No Turning-off Behavior,A
460,24.30,59.50,31.55,41.50,616.750,259.000,No Turning-off Behavior,A
415,24.50,59.90,30.66,43.00,24.020,155.000,No Turning-off Behavior,A
435,24.20,60.10,30.24,44.10,6.950,143.000,No Turning-off Behavior,A
439,24.20,61.00,31.01,42.00,523.930,215.000,No Turning-off Behavior,A
411,24.50,61.00,31.35,41.40,140.690,247.000,No Turning-off Behavior,A
435,24.40,61.20,31.47,40.50,611.380,229.000,No Turning-off Behavior,A
426,24.60,60.50,31.56,39.60,319.800,213.000,No Turning-off Behavior,A
442,24.40,59.80,32.28,37.70,639.670,198.000,No Turning-off Behavior,A
450,24.50,59.40,31.12,41.90,528.370,182.000,No Turning-off Behavior,A
470,24.50,59.30,31.59,39.90,489.790,160.000,No Turning-off Behavior,A
454,24.40,60.00,31.71,39.80,573.260,163.000,No Turning-off Behavior,A
441,24.60,59.80,31.61,39.90,106.560,172.000,No Turning-off Behavior,A
447,24.40,60.00,31.35,40.40,525.100,169.000,No Turning-off Behavior,A
423,24.50,59.20,30.69,41.90,20.040,153.000,No Turning-off Behavior,A
435,24.40,59.80,31.76,41.30,361.660,153.000,No Turning-off Behavior,A
446,24.40,60.20,31.10,42.30,507.330,155.000,No Turning-off Behavior,A
430,24.50,60.20,30.89,42.80,187.930,148.000,No Turning-off Behavior,A
434,24.50,60.00,31.19,41.70,474.360,138.000,No Turning-off Behavior,A
433,24.30,59.20,31.06,42.30,358.380,131.000,No Turning-off Behavior,A
451,24.20,59.30,31.01,42.20,461.500,130.000,No Turning-off Behavior,A
473,23.90,59.40,31.10,42.70,473.190,120.000,No Turning-off Behavior,A
495,23.90,60.60,30.42,44.70,276.080,105.000,No Turning-off Behavior,A
457,24.30,60.40,30.10,44.40,476.930,112.000,No Turning-off Behavior,A
440,24.40,59.80,30.20,44.60,32.200,98.000,No Turning-off Behavior,A
486,24.20,60.30,30.07,45.50,431.800,100.000,No Turning-off Behavior,A
455,24.30,61.20,30.40,46.30,59.560,87.000,No Turning-off Behavior,A
463,24.40,60.70,29.85,47.70,402.340,88.000,No Turning-off Behavior,A
436,24.20,61.60,29.45,49.00,310.920,81.000,No Turning-off Behavior,A
447,24.10,61.10,29.53,49.10,197.510,72.000,No Turning-off Behavior,A
424,24.20,61.40,29.21,49.80,291.740,64.000,No Turning-off Behavior,A
427,24.10,62.70,28.77,50.80,116.840,59.000,No Turning-off Behavior,A
420,24.10,63.10,28.71,51.00,229.780,52.000,No Turning-off Behavior,A
424,24.10,63.40,28.59,51.60,164.310,42.000,No Turning-off Behavior,A
460,25.70,69.10,29.74,70.90,26.120,114.000,No Turning-off Behavior,A
477,25.40,70.50,29.93,67.60,114.270,126.000,No Turning-off Behavior,A
479,25.30,70.20,30.39,65.10,375.690,158.000,No Turning-off Behavior,A
474,25.50,71.90,31.25,61.70,31.270,182.000,No Turning-off Behavior,A
487,25.30,70.40,31.31,60.40,39.220,167.000,No Turning-off Behavior,A
482,25.40,70.50,31.45,60.50,10.690,165.000,No Turning-off Behavior,A
459,25.10,70.10,30.90,61.00,133.450,179.000,No Turning-off Behavior,A
465,24.90,70.00,31.35,59.90,3.910,157.000,No Turning-off Behavior,A
491,24.80,69.30,31.19,59.90,4.140,170.000,No Turning-off Behavior,A
475,24.80,69.30,31.67,58.70,4.140,127.000,No Turning-off Behavior,A
460,25.10,69.90,30.67,59.80,3.680,59.000,No Turning-off Behavior,A
464,25.10,68.00,30.80,59.10,2.510,57.000,No Turning-off Behavior,A
471,24.80,69.30,30.54,59.90,2.740,54.000,No Turning-off Behavior,A
460,24.90,68.30,30.59,60.00,2.270,52.000,No Turning-off Behavior,A
460,25.00,68.60,30.67,60.10,2.510,45.000,No Turning-off Behavior,A
466,24.90,69.50,30.72,67.40,4.380,210.000,No Turning-off Behavior,A
457,24.60,69.80,31.02,66.60,9.990,208.000,No Turning-off Behavior,A
461,24.30,70.20,31.56,63.90,3.910,160.000,No Turning-off Behavior,A
459,24.20,69.10,30.96,64.60,4.380,144.000,No Turning-off Behavior,A
466,24.20,70.20,30.45,66.30,5.550,139.000,No Turning-off Behavior,A
472,24.20,71.10,30.44,66.80,3.680,117.000,No Turning-off Behavior,A
468,23.90,70.50,30.52,66.90,3.680,130.000,No Turning-off Behavior,A
470,23.90,72.90,30.20,67.40,3.210,117.000,No Turning-off Behavior,A
472,23.90,71.50,29.88,68.50,3.440,94.000,No Turning-off Behavior,A
482,24.00,72.00,30.35,67.90,2.740,70.000,No Turning-off Behavior,A
467,24.00,71.80,30.28,68.40,2.270,41.000,No Turning-off Behavior,A
455,23.80,73.40,29.91,70.00,2.270,15.000,No Turning-off Behavior,A
481,24.20,75.70,27.65,81.40,4.140,12.000,No Turning-off Behavior,A
454,24.30,78.00,24.95,98.00,2.970,7.000,No Turning-off Behavior,A
462,24.00,80.30,24.76,100.00,2.040,17.000,No Turning-off Behavior,A
455,23.70,80.00,24.88,100.00,1.800,32.000,No Turning-off Behavior,A
487,23.50,78.90,25.08,100.00,1.800,24.000,No Turning-off Behavior,A
540,23.70,77.30,24.84,100.00,2.270,35.000,No Turning-off Behavior,A
531,23.60,75.40,24.90,100.00,1.800,30.000,No Turning-off Behavior,A
537,23.50,76.70,24.63,100.00,2.040,79.000,No Turning-off Behavior,A
515,23.60,76.90,24.39,100.00,2.740,65.000,No Turning-off Behavior,A
525,23.70,77.80,24.87,100.00,1.800,65.000,No Turning-off Behavior,A
511,23.80,78.50,25.00,100.00,3.440,94.000,No Turning-off Behavior,A
510,23.90,77.30,25.14,100.00,2.970,97.000,No Turning-off Behavior,A
514,23.80,76.90,25.77,100.00,5.310,107.000,No Turning-off Behavior,A
494,23.80,77.60,26.16,98.00,2.510,97.000,No Turning-off Behavior,A
481,23.70,76.70,26.34,95.00,2.510,47.000,No Turning-off Behavior,A
469,23.60,77.50,26.40,93.70,2.040,38.000,No Turning-off Behavior,A
487,23.60,77.00,26.12,93.20,2.040,35.000,No Turning-off Behavior,A
462,23.50,77.80,26.03,92.90,1.570,29.000,No Turning-off Behavior,A
429,23.50,78.30,26.05,92.40,2.040,81.000,No Turning-off Behavior,A
438,23.40,77.60,26.23,90.80,1.800,71.000,No Turning-off Behavior,A
455,23.60,78.80,26.30,90.80,1.570,85.000,No Turning-off Behavior,A
454,23.70,78.70,26.44,90.10,2.510,64.000,No Turning-off Behavior,A
459,23.70,69.30,20.60,98.80,2.040,12.000,No Turning-off Behavior,A
473,23.30,70.90,20.39,99.40,2.040,28.000,No Turning-off Behavior,A
480,23.20,71.50,20.13,100.00,1.800,35.000,No Turning-off Behavior,A
472,22.80,71.20,20.35,100.00,1.570,27.000,No Turning-off Behavior,A
469,22.70,70.20,20.11,100.00,2.040,32.000,No Turning-off Behavior,A
458,22.50,70.30,20.22,100.00,1.800,24.000,No Turning-off Behavior,A
454,22.50,71.00,20.38,100.00,1.800,43.000,No Turning-off Behavior,A
466,22.50,71.50,20.30,99.80,1.800,28.000,No Turning-off Behavior,A
469,22.50,71.20,20.44,98.90,2.270,67.000,No Turning-off Behavior,A
453,22.70,71.50,20.71,97.80,1.340,45.000,No Turning-off Behavior,A
445,22.30,71.30,20.83,96.90,2.270,44.000,No Turning-off Behavior,A
444,22.10,71.60,20.85,96.60,2.270,53.000,No Turning-off Behavior,A
447,23.10,78.20,20.97,95.60,1.800,59.000,No Turning-off Behavior,A
459,23.20,71.50,20.97,93.90,1.800,85.000,No Turning-off Behavior,A
451,22.30,72.40,21.21,93.20,2.270,104.000,No Turning-off Behavior,A
453,22.40,71.40,21.34,93.00,2.510,92.000,No Turning-off Behavior,A
445,22.20,71.20,21.40,93.70,2.040,83.000,No Turning-off Behavior,A
434,22.90,79.50,21.50,94.80,2.510,44.000,No Turning-off Behavior,A
428,23.40,79.10,21.33,95.60,2.270,73.000,No Turning-off Behavior,A
476,23.40,68.50,23.66,78.90,15.600,148.000,No Turning-off Behavior,A
490,23.10,68.60,24.00,78.70,576.300,155.000,No Turning-off Behavior,A
488,23.00,69.10,24.25,75.80,14.900,141.000,No Turning-off Behavior,A
499,23.00,68.90,24.87,72.40,687.140,164.000,No Turning-off Behavior,A
496,23.00,69.50,24.62,72.90,621.430,165.000,No Turning-off Behavior,A
507,23.00,69.80,24.94,73.30,20.280,166.000,No Turning-off Behavior,A
503,23.00,70.00,24.81,67.50,731.330,171.000,No Turning-off Behavior,A
488,23.00,69.30,24.76,70.20,209.440,167.000,No Turning-off Behavior,A
493,23.10,68.70,24.67,69.80,6.010,161.000,No Turning-off Behavior,A
491,23.10,68.00,25.12,66.00,758.920,203.000,No Turning-off Behavior,A
485,23.00,68.50,25.55,64.50,17.470,194.000,No Turning-off Behavior,A
475,23.10,68.00,25.53,66.20,168.520,161.000,No Turning-off Behavior,A
469,26.40,67.80,35.46,51.60,26.820,132.000,No Turning-off Behavior,A
473,26.10,67.80,34.69,52.20,533.050,138.000,No Turning-off Behavior,A
490,25.70,68.00,36.63,48.50,511.300,135.000,No Turning-off Behavior,A
502,25.30,68.80,35.72,48.50,353.710,126.000,No Turning-off Behavior,A
536,24.90,70.90,36.23,48.50,455.650,114.000,No Turning-off Behavior,A
510,25.30,71.70,35.26,51.30,127.370,108.000,No Turning-off Behavior,A
507,25.10,69.60,35.00,50.90,256.900,102.000,No Turning-off Behavior,A
488,25.00,69.90,35.40,49.90,407.020,94.000,No Turning-off Behavior,A
500,24.70,70.10,36.14,49.70,97.440,92.000,No Turning-off Behavior,A
517,24.60,71.00,36.39,50.10,328.450,88.000,No Turning-off Behavior,A
503,24.50,71.80,35.82,50.40,291.040,88.000,No Turning-off Behavior,A
475,24.70,70.10,35.93,50.10,182.320,84.000,No Turning-off Behavior,A
442,25.70,72.10,32.38,58.30,154.490,131.000,No Turning-off Behavior,A
445,25.50,71.90,32.50,58.10,262.750,144.000,No Turning-off Behavior,A
521,25.20,70.30,32.58,57.10,202.190,149.000,No Turning-off Behavior,A
533,25.10,70.90,32.87,55.50,14.660,161.000,No Turning-off Behavior,A
547,25.10,70.40,32.90,55.60,45.760,153.000,No Turning-off Behavior,A
529,25.10,69.90,32.99,54.40,21.450,159.000,No Turning-off Behavior,A
536,24.80,69.80,33.13,54.20,92.530,169.000,No Turning-off Behavior,A
518,25.00,70.00,33.36,50.10,232.590,191.000,No Turning-off Behavior,A
494,25.10,68.10,33.62,49.80,13.260,190.000,No Turning-off Behavior,A
528,24.60,68.20,33.55,51.70,320.040,206.000,No Turning-off Behavior,A
549,24.40,68.50,33.38,52.50,45.300,183.000,No Turning-off Behavior,A
556,24.30,68.70,33.67,52.00,169.450,200.000,No Turning-off Behavior,A
556,24.10,67.60,33.71,48.60,7.880,179.000,No Turning-off Behavior,A
577,24.00,67.90,33.70,50.50,11.390,195.000,No Turning-off Behavior,A
557,24.10,68.00,33.97,50.70,18.870,187.000,No Turning-off Behavior,A
560,24.10,68.10,33.83,50.90,48.100,195.000,No Turning-off Behavior,A
525,24.10,68.70,33.91,49.10,9.050,210.000,No Turning-off Behavior,A
501,24.10,68.60,34.13,48.20,70.780,226.000,No Turning-off Behavior,A
