CO2 [ppm],Temperature_Indoor [C],Relative_Humidity_Indoor [%],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%],Solar_Radiation [w/m2],Southward_Vertical_Irradiance [w/m2],Class,Room_ID
616,25.20,43.70,22.45,39.80,273.270,136.000,No Turning-on Behavior,A
462,24.50,43.10,21.43,40.90,367.500,108.000,No Turning-on Behavior,A
500,24.60,43.10,20.63,43.60,215.280,88.000,No Turning-on Behavior,A
503,25.60,50.30,25.66,47.30,42.260,76.000,No Turning-on Behavior,A
503,25.60,50.30,25.83,46.70,386.670,82.000,No Turning-on Behavior,A
486,25.60,50.30,25.84,48.30,24.250,54.000,No Turning-on Behavior,A
472,25.10,64.90,32.41,50.70,249.660,280.000,No Turning-on Behavior,A
482,24.80,66.10,33.35,47.20,392.520,239.000,No Turning-on Behavior,A
486,24.60,66.80,33.40,47.00,541.930,277.000,No Turning-on Behavior,A
496,24.50,67.20,32.66,50.20,524.400,260.000,No Turning-on Behavior,A
532,24.50,67.50,33.07,49.60,321.200,212.000,No Turning-on Behavior,A
546,24.40,67.80,32.25,51.80,83.880,189.000,No Turning-on Behavior,A
544,24.40,68.10,33.02,49.40,423.620,240.000,No Turning-on Behavior,A
555,24.40,68.10,32.94,49.90,272.800,200.000,No Turning-on Behavior,A
564,24.30,68.10,32.54,50.80,138.360,180.000,No Turning-on Behavior,A
572,24.10,68.80,32.73,50.00,245.450,179.000,No Turning-on Behavior,A
575,24.00,69.00,32.66,49.60,155.890,181.000,No Turning-on Behavior,A
587,24.00,69.00,32.27,51.20,169.690,140.000,No Turning-on Behavior,A
591,23.90,68.90,32.53,50.30,204.060,148.000,No Turning-on Behavior,A
604,23.90,69.10,31.87,52.60,12.790,119.000,No Turning-on Behavior,A
604,24.00,69.20,31.56,54.20,157.060,139.000,No Turning-on Behavior,A
615,23.90,69.30,31.70,53.80,38.980,118.000,No Turning-on Behavior,A
614,23.70,68.80,31.51,53.80,166.880,111.000,No Turning-on Behavior,A
597,23.60,68.70,31.34,54.20,106.090,110.000,No Turning-on Behavior,A
577,23.60,68.70,31.18,54.00,8.820,68.000,No Turning-on Behavior,A
568,23.40,69.10,31.00,54.90,91.360,82.000,No Turning-on Behavior,A
540,23.40,69.00,31.09,54.90,26.120,89.000,No Turning-on Behavior,A
530,23.30,69.20,30.90,55.30,15.600,72.000,No Turning-on Behavior,A
524,23.20,69.20,30.61,56.90,6.010,62.000,No Turning-on Behavior,A
508,23.20,69.40,30.38,56.70,4.380,58.000,No Turning-on Behavior,A
511,23.10,69.70,30.17,57.70,4.140,53.000,No Turning-on Behavior,A
475,24.40,74.60,34.30,51.30,6.720,173.000,No Turning-on Behavior,A
501,24.30,74.10,34.69,50.50,202.660,296.000,No Turning-on Behavior,A
509,24.10,73.50,34.88,50.10,479.740,298.000,No Turning-on Behavior,A
516,24.00,72.80,34.78,50.30,302.270,184.000,No Turning-on Behavior,A
540,24.00,72.60,35.20,49.70,479.270,266.000,No Turning-on Behavior,A
527,24.30,72.90,34.77,49.40,457.990,255.000,No Turning-on Behavior,A
527,24.00,72.40,35.27,47.50,151.220,231.000,No Turning-on Behavior,A
530,24.00,72.40,35.10,48.80,478.100,214.000,No Turning-on Behavior,A
544,24.00,72.20,34.77,49.90,404.450,194.000,No Turning-on Behavior,A
548,24.00,72.30,35.61,45.40,554.790,190.000,No Turning-on Behavior,A
534,24.00,72.00,35.29,46.00,396.260,182.000,No Turning-on Behavior,A
532,23.90,72.00,35.07,48.00,155.430,187.000,No Turning-on Behavior,A
529,24.00,72.20,35.72,47.20,399.070,157.000,No Turning-on Behavior,A
530,23.90,72.40,35.58,47.00,350.430,163.000,No Turning-on Behavior,A
516,24.00,72.40,35.88,46.90,402.340,163.000,No Turning-on Behavior,A
518,24.00,72.50,35.86,47.10,272.800,142.000,No Turning-on Behavior,A
525,24.00,72.70,34.55,50.30,161.970,126.000,No Turning-on Behavior,A
