Temperature_Indoor [C],Relative_Humidity_Indoor [%],Indoor_Illumination [LUX],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%],Solar_Radiation [w/m2],Southward_Vertical_Irradiance [w/m2],Shading_Status_last,Class,Room_ID
25.20,54.70,761,21.58,63.00,700.230,336.000,0,Rolling Up,C
25.20,54.40,883,22.08,59.70,271.170,318.000,0,Rolling Up,C
25.30,54.20,994,22.36,59.00,35.480,321.000,0,Rolling Up,C
25.40,53.50,825,22.39,55.50,20.510,244.000,0,Rolling Up,C
25.40,52.40,927,22.70,52.30,507.790,358.000,0,Rolling Up,C
25.50,51.30,677,23.32,48.40,752.370,299.000,0,Rolling Up,C
25.60,51.80,636,22.94,50.10,705.370,278.000,0,Rolling Up,C
25.60,51.70,608,23.77,50.80,191.900,272.000,0,Rolling Up,C
25.70,51.30,568,22.86,47.80,518.550,243.000,0,Rolling Up,C
25.40,50.50,594,23.20,46.90,88.320,258.000,0,Rolling Up,C
25.80,51.20,507,24.49,46.40,639.900,217.000,0.8,Rolling Up,C
25.90,51.60,511,24.36,43.30,115.440,208.000,0.8,Rolling Up,C
26.00,50.80,465,24.34,43.70,413.800,156.000,0.8,Rolling Up,C
25.60,47.30,472,24.16,42.80,39.220,163.000,0.8,Rolling Up,C
25.60,47.00,469,23.95,41.30,595.710,147.000,0.8,Rolling Up,C
25.50,49.40,451,23.75,45.40,411.230,138.000,0.8,Rolling Up,C
25.60,48.20,438,23.86,46.60,544.270,132.000,0.8,Rolling Up,C
25.50,48.30,446,23.62,46.00,486.980,138.000,0.8,Rolling Up,C
25.30,48.20,414,23.23,45.20,342.480,126.000,0.8,Rolling Up,C
25.40,49.20,376,23.52,46.50,427.590,112.000,0.5,Rolling Up,C
25.40,48.10,361,23.18,45.40,461.730,108.000,0.5,Rolling Up,C
25.30,47.00,321,23.31,32.90,540.760,99.000,0.5,Rolling Up,C
25.30,40.40,306,23.66,29.10,536.550,90.000,0.5,Rolling Up,C
25.40,41.40,295,23.39,30.50,156.590,85.000,0.5,Rolling Up,C
25.50,41.60,284,23.34,31.20,355.110,77.000,0.5,Rolling Up,C
25.50,41.60,264,22.98,26.10,24.490,73.000,0.5,Rolling Up,C
25.40,40.90,251,23.46,25.90,449.570,64.000,0.5,Rolling Up,C
22.60,48.10,573,17.98,55.20,642.240,203.000,1,Rolling Up,C
22.80,47.60,568,18.61,54.40,620.500,220.000,0.5,Rolling Up,C
22.80,47.70,491,18.47,54.10,18.870,166.000,0.5,Rolling Up,C
23.00,47.50,555,18.63,52.40,609.040,239.000,0.5,Rolling Up,C
22.60,47.40,705,19.03,50.60,207.800,264.000,0.5,Rolling Up,C
22.30,46.70,792,18.83,51.70,731.330,282.000,0.5,Rolling Up,C
27.70,63.70,803,30.85,55.00,16.300,308.000,1,Rolling Up,C
27.60,63.80,764,31.51,54.00,556.900,301.000,0.5,Rolling Up,C
27.80,65.40,842,33.70,47.50,176.470,262.000,0,Rolling Up,C
28.10,64.20,830,32.50,50.60,478.330,251.000,0,Rolling Up,C
28.30,64.50,772,32.75,50.20,350.670,230.000,0,Rolling Up,C
28.10,65.60,849,32.39,51.20,82.940,231.000,0,Rolling Up,C
27.90,65.40,888,32.95,50.20,354.880,229.000,0,Rolling Up,C
28.00,65.20,815,32.78,50.20,64.940,205.000,0,Rolling Up,C
27.90,64.80,821,32.36,51.20,208.740,196.000,0,Rolling Up,C
28.10,64.60,735,32.58,50.30,121.760,161.000,0,Rolling Up,C
28.00,64.40,749,32.53,50.20,302.270,169.000,0,Rolling Up,C
28.10,64.00,608,32.42,51.60,123.630,141.000,0,Rolling Up,C
28.20,64.10,589,32.51,51.00,34.310,132.000,0,Rolling Up,C
28.10,64.40,593,31.91,52.60,50.440,127.000,0,Rolling Up,C
28.20,64.50,298,31.04,54.30,15.130,67.000,1,Rolling Up,C
28.20,64.50,368,31.00,54.50,150.280,89.000,0,Rolling Up,C
28.00,64.60,348,31.00,54.40,37.350,79.000,0,Rolling Up,C
27.90,64.50,300,30.80,55.90,7.880,69.000,0,Rolling Up,C
28.20,65.60,364,32.70,54.00,10.690,138.000,1,Rolling Up,C
27.80,65.40,432,32.70,54.70,286.370,195.000,0.3,Rolling Up,C
28.20,66.50,467,33.25,53.30,319.800,229.000,0.3,Rolling Up,C
28.00,65.40,515,33.90,51.70,567.420,263.000,0.3,Rolling Up,C
27.80,65.30,518,33.72,51.70,561.110,265.000,0.3,Rolling Up,C
28.10,64.10,533,34.14,52.00,14.660,274.000,0.3,Rolling Up,C
27.80,63.50,548,34.47,51.70,592.670,280.000,0.3,Rolling Up,C
27.70,63.30,569,34.94,50.40,592.440,289.000,0.3,Rolling Up,C
27.80,63.00,592,34.96,51.30,606.230,302.000,0.3,Rolling Up,C
27.70,63.90,647,34.54,51.40,635.460,332.000,0.3,Rolling Up,C
27.80,63.60,629,34.37,52.00,18.170,315.000,0.3,Rolling Up,C
27.80,63.40,670,35.63,48.60,548.950,327.000,0.3,Rolling Up,C
27.20,61.00,435,35.08,49.70,6.250,151.000,0.3,Rolling Up,C
26.70,59.70,508,34.77,51.20,26.360,289.000,0.3,Rolling Up,C
26.40,60.50,384,34.71,51.00,5.080,157.000,0,Rolling Up,C
26.30,60.80,598,35.29,51.20,624.000,352.000,0,Rolling Up,C
26.30,62.80,568,35.53,50.00,674.280,327.000,0,Rolling Up,C
26.60,63.90,572,35.99,49.00,548.950,309.000,0,Rolling Up,C
26.50,61.80,556,35.58,49.40,65.400,309.000,0,Rolling Up,C
